Sortiernummer,Ebene0 Name,Ebene1 Kode,Ebene1 Name,Ebene 2 Kode,Ebene2 Name,Ebene3 Kode,Ebene3 Name,Ebene4 Kode,Ebene4 Name,Ebene5 Kode,Ebene5 Name,Ebene6 Kode,Ebene6 Name,IRIS Hierarchie Art,IRIS Hierarchie Nr,Kulturkürzel,Code (Antrag),Notiz,Nutzung1 ,Code1,Nutzung2,Code2,Nutzung3,Code3,Nutzung4,Code4,Nutzung5,Code5,Leguminose (ÖVF)
64,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVW,Wurzel- und Knollengemüse,RAPSR,Radieschen,RAPSR,Radieschen,RAPSR,Radieschen,RAPSR,Radieschen,,,R,610,,,,,,,,,,,,
65,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVW,Wurzel- und Knollengemüse,BEAVX,Beten,BEAVD,Rote Bete,BEAVD,Rote Bete,BEAVD,Rote Bete,,,,610,,,,,,,,,,,,
66,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVF,Fruchtgemüse,NNNLG,Hülsengemüse,PIBST,Erbse,PIBST,Erbse,PIBST,Erbse,,,,,,Markerbse,211,Schalerbse,211,Zuckererbse,211,,,,,x
67,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVF,Fruchtgemüse,NNNLG,Hülsengemüse,PHSVN,Buschbohne,PHSVN,Buschbohne,PHSVN,Buschbohne,,,BB,610,,,,,,,,,,,,x
68,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVF,Fruchtgemüse,NNNLG,Hülsengemüse,PHSVV,Stangenbohne,PHSVV,Stangenbohne,PHSVV,Stangenbohne,,,BS,610,,,,,,,,,,,,x
69,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVF,Fruchtgemüse,NNNLG,Hülsengemüse,VICFJ,Dicke Bohne,VICFJ,Dicke Bohne,VICFJ,Dicke Bohne,,,BP,610,,,,,,,,,,,,x
70,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVF,Fruchtgemüse,LYPES,Tomate,LYPES,Tomate,LYPES,Tomate,LYPES,Tomate,,,TOT,610,,,,,,,,,,,,
71,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVF,Fruchtgemüse,CUMSA,Gurke,CUMSA,Gurke,CUMSA,Gurke,CUMSA,Gurke,,,GU,610,,,,,,,,,,,,
72,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVF,Fruchtgemüse,CPSAN,Gemüsepaprika,CPSAN,Gemüsepaprika,CPSAN,Gemüsepaprika,CPSAN,Gemüsepaprika,,,PPR,610,,,,,,,,,,,,
73,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVF,Fruchtgemüse,CUUPG,Zucchini,CUUPG,Zucchini,CUUPG,Zucchini,CUUPG,Zucchini,,,KUP,610,,,,,,,,,,,,
74,Hauptfrucht,NNNVV,Gemüsekulturen,NNNVF,Fruchtgemüse,SOLME,Aubergine,SOLME,Aubergine,SOLME,Aubergine,SOLME,Aubergine,,,AUB,610,,,,,,,,,,,,
75,Hauptfrucht,NNNVV,Gemüsekulturen,FOEVU,Fenchel,FOEVU,Fenchel,FOEVU,Fenchel,FOEVU,Fenchel,FOEVU,Fenchel,,,FEK,610,,,,,,,,,,,,
76,Hauptfrucht,NNNOO,Obstkulturen,NNNOB,Beerenobst,FRAAN,Erdbeere,FRAAN,Erdbeere,FRAAN,Erdbeere,FRAAN,Erdbeere,,,EDB,707,,,,,,,,,,,,
77,Hauptfrucht,NNNOO,Obstkulturen,NNNOB,Beerenobst,NNNOH,Himbeerartiges Beerenobst,RUBID,Himbeere,RUBID,Himbeere,RUBID,Himbeere,,,HMB,827,,,,,,,,,,,,
78,Hauptfrucht,NNNOO,Obstkulturen,NNNOB,Beerenobst,NNNOH,Himbeerartiges Beerenobst,RUBFR,Brombeere,RUBFR,Brombeere,RUBFR,Brombeere,,,BMB,827,,,,,,,,,,,,
79,Hauptfrucht,NNNOO,Obstkulturen,NNNOB,Beerenobst,NNNOJ,Johannisbeerartiges Beerenobst,RIBNI,Schwarze Johannisbeere,RIBNI,Schwarze Johannisbeere,RIBNI,Schwarze Johannisbeere,,,JHS,827,,,,,,,,,,,,
80,Hauptfrucht,NNNOO,Obstkulturen,NNNOB,Beerenobst,NNNOJ,Johannisbeerartiges Beerenobst,RIBRU,Rote Johannisbeere,RIBRU,Rote Johannisbeere,RIBRU,Rote Johannisbeere,,,JHB,827,,,,,,,,,,,,
81,Hauptfrucht,NNNOO,Obstkulturen,NNNOB,Beerenobst,NNNOJ,Johannisbeerartiges Beerenobst,VACSS,Heidelbeerarten,VACCO,Heidelbeere,VACCO,Heidelbeere,,,,827,,,,,,,,,,,,
87,Hauptfrucht,NNNOO,Obstkulturen,NNNOG,Obstgehölze,NNNOK,Kernobst,MABSD,Apfel,MABSD,Apfel,MABSD,Apfel,,,APF,821,,,,,,,,,,,,
88,Hauptfrucht,NNNOO,Obstkulturen,NNNOG,Obstgehölze,NNNOK,Kernobst,PYUCO,Birne,PYUCO,Birne,PYUCO,Birne,,,BRN,821,,,,,,,,,,,,
89,Hauptfrucht,NNNOO,Obstkulturen,NNNOG,Obstgehölze,NNNOS,Steinobst,PRNAV,Süßkirsche,PRNAV,Süßkirsche,PRNAV,Süßkirsche,,,KIA,821,,,,,,,,,,,,
90,Hauptfrucht,NNNOO,Obstkulturen,NNNOG,Obstgehölze,NNNOS,Steinobst,PRNDO,Pflaume,PRNDO,Pflaume,PRNDO,Pflaume,,,PFL,821,,,,,,,,,,,,
91,Hauptfrucht,NNNWW,Forstpflanzen,NNNWN,Nadelholz,ABISS,Tanne,ABINO,Nordmann-Tanne,ABINO,Nordmann-Tanne,ABINO,Nordmann-Tanne,,,,995,,,,,,,,,,,,
92,Hauptfrucht,NNNOO,Obstkulturen,NNNOG,Obstgehölze,NNNOS,Steinobst,PRNCE,Sauerkirsche,PRNCE,Sauerkirsche,PRNCE,Sauerkirsche,,,,821,,,,,,,,,,,,
93,Hauptfrucht,NNNVV,Gemüsekulturen,ZEAMS,Zuckermais,ZEAMS,Zuckermais,ZEAMS,Zuckermais,ZEAMS,Zuckermais,ZEAMS,Zuckermais,,,,174,,,,,,,,,,,,
94,Hauptfrucht,NNNAC,Ackerbaukulturen,LIUUT,Lein,LIUUT,Lein,LIUUT,Lein,LIUUT,Lein,LIUUT,Lein,,,,,,,,,,,,,,,,
95,Hauptfrucht,NNNAC,Ackerbaukulturen,MISSS,Miscanthus,MISSS,Miscanthus,MISSS,Miscanthus,MISSS,Miscanthus,MISSS,Miscanthus,,,,852,,,,,,,,,,,,
,,,,,,,,,,,,,Linsen,,,,,,,,,,,,,,,,x
,,,,,,,,,,,,,Hornschotenklee,,,,427,,,,,,,,,,,,x
,,,,,,,,,,,,,Hopfenklee (Geldklee),,,,423,,,,,,,,,,,,x
,,,,,,,,,,,,,Bastardluzerne,,,,423,,,,,,,,,,,,x
,,,,,,,,,,,,,Esparsette,,,,429,,,,,,,,,,,,x
,,,,,,,,,,,,,Seradella,,,,430,,,,,,,,,,,,x
,,,,,,,,,,,,,Pannonische Wicke,,,,221,,,,,,,,,,,,x
,,,,,,,,,,,,,Saatwicke,,,,221,,,,,,,,,,,,x
,,,,,,,,,,,,,Zottelwicke,,,,221,,,,,,,,,,,,x
,,,,,,,,,,,,,Ramtillkraut,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Wurzelzichorien,,,,044,,,,,,,,,,,,
,,,,,,,,,,,,,Chicoree,,,,644,,,,,,,,,,,,
,,,,,,,,,,,,,Radiccio,,,,644,,,,,,,,,,,,
,,,,,,,,,,,,,kraus-/ganzblättrige  Endivie,,,,644,,,,,,,,,,,,
,,,,,,,,,,,,,Tabak,,,,705,,,,,,,,,,,,
,,,,,,,,,,,,,Phacelia,,,,777,,Hauptkultur,777,Saatgutvermehrung,777,,,,,,,
,,,,,,,,,,,,,Brennesseln,,,,709,,,,,,,,,,,,
,,,,,,,,,,,,,Rollrasen,,,,702,,,,,,,,,,,,
,,,,,,,,,,,,,Hollunder,,,,829,,,,,,,,,,,,
,,,,,,,,,,,,,Sanddorn,,,,829,,,,,,,,,,,,
,,,,,,,,,,,,,Haselnüsse,,,,833,,,,,,,,,,,,
,,,,,,,,,,,,,Walnüsse,,,,834,,,,,,,,,,,,
,,,,,,,,,,,,,Tafeltrauben,,,,848,,,,,,,,,,,,
,,,,,,,,,,,,,Hopfen,,,,856,,,,,,,,,,,,
,,,,,,,,,,,,,Artischocke,,,,649,,,,,,,,,,,,
,,,,,,,,,,,,,Durchwachsende Silphie,,,,802,,,,,,,,,,,,
,,,,,,,,,,,,,Sudangras,,,,803,,,,,,,,,,,,
,,,,,,,,,,,,,Riesenweizengras (Szarvasi-Gras),,,,853,,,,,,,,,,,,
,,,,,,,,,,,,,Virginiamalve (Sida),,,,804,,,,,,,,,,,,
,,,,,,,,,,,,,Staudenknöterich,,,,805,,,,,,,,,,,,
,,,,,,,,,,,,,Rohrglanzgras,,,,854,,,,,,,,,,,,
,,,,,,,,,,,,,Leindotter,,,,393,,,,,,,,,,,,
,,,,,,,,,,,,,Färberdistel/Saflor,,,,708,,,,,,,,,,,,
,,,,,,,,,,,,,Meerkohl/Krambe,,,,392,,,,,,,,,,,,
,,,,,,,,,,,,,Winterrübsen,,,,315,,,,,,,,,,,,
,,,,,,,,,,,,,Sommerrübsen,,,,316,,,,,,,,,,,,
,,,,,,,,,,,,,"Bockshornklee, Schabziger Klee",,,,426,,,,,,,,,,,,
,,,,,,,,,,,,,Steinklee,,,,431,,,,,,,,,,,,
,,,,,,,,,,,,,Erbse,,,,210,zur Körnergewinnung,,,,,,,,,,,
,,,,,,,,,,,,,Platterbse,,,,212,,,,,,,,,,,,
,,,,,,,,,,,,,Rispenhirse,,,,181,,,,,,,,,,,,
,,,,,,,,,,,,,Buchweizen,,,,192,,,,,,,,,,,,
,,,,,,,,,,,,,Sorghumhirse (Körnersorghum),,,,183,,,,,,,,,,,,
,,,,,,,,,,,,,Kolbenhirse,,,,184,,,,,,,,,,,,
,,,,,,,,,,,,,Amarant/Fuchsschwanz,,,,186,,,,,,,,,,,,
,,,,,,,,,,,,,Kleegras,,,,422,,,,,,,,,,,,x
